响应时间,机组名称,频率初值,频差极值,最大频率调节量,出力初值,出力极值,最大出力调节量,最大理论调节量,出力响应指数,实际贡献电量,理论贡献电量,电量贡献指数,综合指数,平均出力调节量,平均理论调节量,调差系数,滞后时间,调频死区,爬坡速率,响应偏差率,15秒实际贡献电量,15秒理论贡献电量,15秒贡献电量指数,30秒实际贡献电量,30秒理论贡献电量,30秒贡献电量指数,45秒实际贡献电量,45秒理论贡献电量,45秒贡献电量指数,60秒实际贡献电量,60秒理论贡献电量,60秒贡献电量指数,量测源
2015/09/19 21:57:59,安徽.滨淮厂 安徽.滨淮厂/13.8kV.滨淮厂#1机,49.971,-0.438,-0.409,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.029,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2015/09/19 21:57:59,安徽.滨淮厂 安徽.滨淮厂/13.8kV.滨淮厂#2机,49.971,-0.438,-0.409,94.5,97.5,3.0,8.1,37.2,43.40,132.73,32.7,35.0,2.6,8.0,29.7,0.00,0.029,2.26,66.2,9.22,31.48,29.28,19.82,65.23,30.38,31.37,98.98,31.69,43.40,132.73,32.70,PMU
2015/09/19 21:57:59,安徽.陈村站 安徽.陈村站/15.75kV.陈村站#1机,49.971,-0.438,-0.409,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.029,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2015/09/19 21:57:59,安徽.陈村站 安徽.陈村站/15.75kV.陈村站#4机,49.971,-0.438,-0.409,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.029,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2015/09/19 21:57:59,安徽.阜润厂 安徽.阜润厂/22kV.阜润厂#1机,49.971,-0.438,-0.409,329.9,345.5,15.5,38.4,40.4,213.20,629.22,33.9,37.2,12.8,37.8,27.4,0.00,0.029,2.72,65.1,36.02,149.25,24.13,88.27,309.25,28.54,149.04,469.24,31.76,213.20,629.22,33.88,RTU
2015/09/19 21:57:59,安徽.阜润厂 安徽.阜润厂/22kV.阜润厂#2机,49.971,-0.438,-0.409,318.9,348.7,29.8,38.4,77.6,378.32,629.24,60.1,68.9,22.7,37.8,15.6,0.00,0.029,4.67,39.5,71.49,149.25,47.90,159.53,309.25,51.59,261.98,469.25,55.83,378.32,629.24,60.12,RTU
2015/09/19 21:57:59,安徽.顾桥厂 安徽.顾桥厂/20kV.顾桥厂#1机,49.971,-0.438,-0.409,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.029,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2015/09/19 21:57:59,安徽.顾桥厂 安徽.顾桥厂/20kV.顾桥厂#2机,49.971,-0.438,-0.409,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.029,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2015/09/19 21:57:59,安徽.合二厂 安徽.合二厂/20kV.合二厂#1机,49.971,-0.438,-0.409,214.4,234.9,20.6,21.0,97.9,286.99,344.10,83.4,90.7,17.2,20.6,11.4,0.00,0.029,6.21,16.4,52.39,81.62,64.19,121.90,169.12,72.08,201.96,256.61,78.70,286.99,344.10,83.40,PMU
2015/09/19 21:57:59,安徽.合二厂 安徽.合二厂/20kV.合二厂#2机,49.971,-0.438,-0.409,184.4,197.6,13.2,21.0,62.8,124.24,344.12,36.1,49.5,7.4,20.6,21.7,0.00,0.029,10.38,63.0,46.77,81.62,57.30,97.93,169.12,57.91,121.38,256.62,47.30,124.24,344.12,36.10,PMU
2015/09/19 21:57:59,安徽.合肥厂 安徽.合肥厂/20kV.合肥厂#6机,49.971,-0.438,-0.409,384.8,406.3,21.6,37.8,57.0,107.32,619.43,17.3,37.2,6.4,37.2,25.8,0.00,0.029,3.43,81.4,13.40,146.92,9.12,19.86,304.41,6.53,45.06,461.92,9.76,107.32,619.43,17.33,PMU
2015/09/19 21:57:59,安徽.合肥厂 安徽.合肥厂/22kV.合肥厂#5机,49.971,-0.438,-0.409,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.029,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2015/09/19 21:57:59,安徽.虎山厂 安徽.虎山厂/20kV.虎山厂#1机,49.971,-0.438,-0.409,403.1,432.7,29.6,39.6,74.9,345.05,648.92,53.2,64.0,20.7,38.9,15.4,0.00,0.029,4.54,46.2,37.14,153.91,24.13,117.66,318.91,36.90,224.00,483.92,46.29,345.05,648.92,53.17,PMU
2015/09/19 21:57:59,安徽.虎山厂 安徽.虎山厂/20kV.虎山厂#2机,49.971,-0.438,-0.409,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.029,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2015/09/19 21:57:59,安徽.华六厂 安徽.华六厂/13.8kV.华六厂#1机,49.971,-0.438,-0.409,0.1,0.1,0.0,8.1,0.0,0.00,132.73,0.0,0.0,0.0,8.0,0.0,60.00,0.029,0.00,98.3,0.00,31.48,0.00,0.00,65.23,0.00,0.00,98.98,0.00,0.00,132.73,0.00,RTU
2015/09/19 21:57:59,安徽.华六厂 安徽.华六厂/13.8kV.华六厂#2机,49.971,-0.438,-0.409,0.1,0.1,0.0,8.1,0.0,0.00,132.73,0.0,0.0,0.0,8.0,0.0,60.00,0.029,0.00,98.3,0.00,31.48,0.00,0.00,65.23,0.00,0.00,98.98,0.00,0.00,132.73,0.00,RTU
2015/09/19 21:57:59,安徽.华六厂 安徽.华六厂/20kV.华六厂#3机,49.971,-0.438,-0.409,464.7,497.8,33.1,39.6,83.6,504.99,648.90,77.8,80.7,30.3,38.9,12.6,0.00,0.029,7.60,21.9,103.21,153.91,67.05,232.22,318.91,72.82,368.60,483.90,76.17,504.99,648.90,77.82,PMU
2015/09/19 21:57:59,安徽.华六厂 安徽.华六厂/20kV.华六厂#4机,49.971,-0.438,-0.409,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.029,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2015/09/19 21:57:59,安徽.淮北二厂 安徽.淮北二厂/20kV.淮北二厂#1机,49.971,-0.438,-0.409,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.029,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2015/09/19 21:57:59,安徽.淮北二厂 安徽.淮北二厂/20kV.淮北二厂#2机,49.971,-0.438,-0.409,187.3,197.2,9.9,19.2,51.4,87.86,314.62,27.9,39.7,5.3,18.9,27.5,0.00,0.029,3.10,71.0,13.65,74.62,18.29,28.12,154.63,18.19,52.26,234.62,22.27,87.86,314.62,27.92,PMU
2015/09/19 21:57:59,安徽.汇源厂 安徽.汇源厂/20kV.汇源厂#5机,49.971,-0.438,-0.409,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.029,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2015/09/19 21:57:59,安徽.汇源厂 安徽.汇源厂/20kV.汇源厂#6机,49.971,-0.438,-0.409,245.3,261.6,16.4,22.2,73.6,207.85,363.78,57.1,65.4,12.5,21.8,15.9,0.00,0.029,4.43,42.2,28.67,86.28,33.22,83.32,178.78,46.60,143.18,271.28,52.78,207.85,363.78,57.14,PMU
2015/09/19 21:57:59,安徽.九华厂 安徽.九华厂/20kV.九华厂#1机,49.971,-0.438,-0.409,173.0,193.6,20.5,19.2,107.0,213.15,314.62,67.8,87.4,12.8,18.9,12.0,0.00,0.029,6.44,32.3,25.28,74.62,33.88,69.57,154.62,45.00,132.94,234.62,56.66,213.15,314.62,67.75,RTU
2015/09/19 21:57:59,安徽.九华厂 安徽.九华厂/20kV.九华厂#2机,49.971,-0.438,-0.409,232.0,250.1,18.1,19.2,94.4,215.01,314.62,68.3,81.4,12.9,18.9,12.6,0.00,0.029,5.68,31.2,23.38,74.62,31.34,79.47,154.62,51.39,143.61,234.62,61.21,215.01,314.62,68.34,RTU
2015/09/19 21:57:59,安徽.临涣厂 安徽.临涣厂/20kV.临涣厂#1机,49.971,-0.438,-0.409,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.029,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RTU
2015/09/19 21:57:59,安徽.临涣厂 安徽.临涣厂/20kV.临涣厂#2机,49.971,-0.438,-0.409,170.0,173.1,3.1,18.0,17.0,11.66,294.95,4.0,10.5,0.7,17.7,61.5,18.60,0.029,1.05,94.4,-1.28,69.96,-1.83,-0.98,144.96,-0.68,2.36,219.96,1.07,11.66,294.95,3.95,RTU
