响应时间,机组名称,频率初值,频差极值,最大频率调节量,出力初值,出力极值,最大出力调节量,最大理论调节量,出力响应指数,实际贡献电量,理论贡献电量,电量贡献指数,综合指数,平均出力调节量,平均理论调节量,调差系数,滞后时间,调频死区,爬坡速率,响应偏差率,15秒实际贡献电量,15秒理论贡献电量,15秒贡献电量指数,30秒实际贡献电量,30秒理论贡献电量,30秒贡献电量指数,45秒实际贡献电量,45秒理论贡献电量,45秒贡献电量指数,60秒实际贡献电量,60秒理论贡献电量,60秒贡献电量指数,量测源
2015/10/20 03:05:13,安徽.滨淮厂 安徽.滨淮厂/13.8kV.滨淮厂#1机,49.975,-0.234,-0.209,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.025,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2015/10/20 03:05:13,安徽.滨淮厂 安徽.滨淮厂/13.8kV.滨淮厂#2机,49.975,-0.234,-0.209,88.1,91.0,3.0,8.1,36.7,41.00,101.11,40.5,38.6,2.5,6.1,12.5,0.00,0.025,2.22,44.5,7.30,31.09,23.47,18.28,55.81,32.75,29.28,77.45,37.81,41.00,101.11,40.55,PMU
2015/10/20 03:05:13,安徽.陈村站 安徽.陈村站/15.75kV.陈村站#1机,49.975,-0.234,-0.209,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.025,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2015/10/20 03:05:13,安徽.陈村站 安徽.陈村站/15.75kV.陈村站#4机,49.975,-0.234,-0.209,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.025,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2015/10/20 03:05:13,安徽.阜润厂 安徽.阜润厂/22kV.阜润厂#1机,49.975,-0.234,-0.209,400.3,438.1,37.8,38.4,98.4,494.72,479.31,103.2,100.8,29.7,28.8,5.1,1.60,0.025,34.74,5.7,111.04,147.41,75.33,243.55,264.60,92.05,367.72,367.17,100.15,494.72,479.31,103.21,RTU
2015/10/20 03:05:13,安徽.阜润厂 安徽.阜润厂/22kV.阜润厂#2机,49.975,-0.234,-0.209,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.025,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RTU
2015/10/20 03:05:13,安徽.顾桥厂 安徽.顾桥厂/20kV.顾桥厂#1机,49.975,-0.234,-0.209,197.2,206.9,9.6,19.8,48.7,119.69,247.14,48.4,48.6,7.2,14.8,8.6,0.00,0.025,5.62,38.6,11.06,76.01,14.54,39.38,136.43,28.86,79.51,189.33,42.00,119.69,247.14,48.43,RTU
2015/10/20 03:05:13,安徽.顾桥厂 安徽.顾桥厂/20kV.顾桥厂#2机,49.975,-0.234,-0.209,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.025,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RTU
2015/10/20 03:05:13,安徽.合二厂 安徽.合二厂/20kV.合二厂#1机,49.975,-0.234,-0.209,255.4,274.7,19.4,21.0,92.2,283.52,262.13,108.2,100.2,17.0,15.7,4.7,0.00,0.025,9.37,9.3,51.44,80.61,63.81,127.99,144.70,88.45,207.92,200.80,103.54,283.52,262.13,108.16,PMU
2015/10/20 03:05:13,安徽.合二厂 安徽.合二厂/20kV.合二厂#2机,49.975,-0.234,-0.209,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.025,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
