响应时间,机组名称,频率初值,频差极值,最大频率调节量,出力初值,出力极值,最大出力调节量,最大理论调节量,出力响应指数,实际贡献电量,理论贡献电量,电量贡献指数,综合指数,平均出力调节量,平均理论调节量,调差系数,滞后时间,调频死区,爬坡速率,响应偏差率,15秒实际贡献电量,15秒理论贡献电量,15秒贡献电量指数,30秒实际贡献电量,30秒理论贡献电量,30秒贡献电量指数,45秒实际贡献电量,45秒理论贡献电量,45秒贡献电量指数,60秒实际贡献电量,60秒理论贡献电量,60秒贡献电量指数,量测源
2017/03/31 12:36:21,安徽.马一厂 安徽.马一厂/20kV.马一厂#1机,49.967,-0.125,-0.093,393.5,406.0,12.5,24.5,51.0,142.25,176.48,80.6,65.8,8.5,10.6,4.7,2.80,0.033,1.91,13.5,14.33,63.60,22.53,49.60,104.08,47.66,91.74,141.63,64.77,142.25,176.48,80.60,RTU
2017/03/31 12:36:21,安徽.马一厂 安徽.马一厂/20kV.马一厂#2机,49.967,-0.125,-0.093,426.7,440.2,13.5,24.5,55.3,180.03,176.47,102.0,78.7,10.8,10.6,4.5,0.00,0.033,2.06,6.8,38.62,63.60,60.72,80.54,104.08,77.38,126.85,141.62,89.57,180.03,176.47,102.02,PMU
2017/03/31 12:36:21,安徽.钱甸厂 安徽.钱甸厂/13.8kV.钱甸厂#1机,49.967,-0.125,-0.093,88.9,89.6,0.7,5.0,13.6,5.12,36.10,14.2,13.9,0.3,2.2,22.4,0.00,0.033,1.22,37.2,0.94,13.01,7.18,3.37,21.29,15.82,4.49,28.97,15.51,5.12,36.10,14.18,PMU
2017/03/31 12:36:21,安徽.钱甸厂 安徽.钱甸厂/13.8kV.钱甸厂#2机,49.967,-0.125,-0.093,83.6,84.0,0.4,5.0,8.2,2.31,36.10,6.4,7.3,0.1,2.2,12.6,0.00,0.033,0.46,40.5,-0.55,13.01,-4.23,0.28,21.29,1.33,1.82,28.97,6.28,2.31,36.10,6.39,PMU
2017/03/31 12:36:21,安徽.塘岔热电厂 安徽.塘岔热电厂/10kV.塘热厂#11机,49.967,-0.125,-0.093,153.7,155.3,1.6,1.6,0.0,-16.90,26.63,0.0,0.0,-1.0,1.6,-9.5,0.00,0.033,63.04,162.9,-3.57,6.54,-54.61,-7.96,13.24,-60.15,-12.46,19.94,-62.49,-16.90,26.63,-63.46,PMU
2017/03/31 12:36:21,安徽.塘岔热电厂 安徽.塘岔热电厂/10kV.塘热厂#12机,49.967,-0.125,-0.093,135.6,136.0,0.4,0.4,0.0,-6.47,6.62,0.0,0.0,-0.4,0.4,-21.3,0.00,0.033,22.15,197.3,-1.74,1.64,-106.23,-2.97,3.30,-89.98,-4.11,4.96,-82.73,-6.47,6.62,-97.75,PMU
2017/03/31 12:36:21,安徽.塘岔热电厂 安徽.塘岔热电厂/10kV.塘热厂#13机,49.967,-0.125,-0.093,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.033,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2017/03/31 12:36:21,安徽.天门山厂 安徽.天门山厂/22kV.天门山#1机,49.967,-0.125,-0.093,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.033,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2017/03/31 12:36:21,安徽.天门山厂 安徽.天门山厂/22kV.天门山#2机,49.967,-0.125,-0.093,657.5,660.5,3.0,3.0,100.0,-1.12,49.59,-2.3,48.9,-0.1,3.0,-14.7,0.00,0.033,27.19,102.1,0.00,12.23,0.00,-0.13,24.69,-0.51,-0.77,37.14,-2.07,-1.12,49.59,-2.27,PMU
2017/03/31 12:36:21,安徽.田家庵厂 安徽.田家庵厂/20kV.田家庵厂#5机,49.967,-0.125,-0.093,239.3,247.4,8.1,11.1,73.2,105.61,80.21,131.7,102.4,6.3,4.8,3.5,0.00,0.033,2.72,5.3,21.38,28.91,73.94,45.00,47.31,95.13,73.48,64.37,114.15,105.61,80.21,131.67,PMU
2017/03/31 12:36:21,安徽.田家庵厂 安徽.田家庵厂/20kV.田家庵厂#6机,49.967,-0.125,-0.093,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.033,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2017/03/31 12:36:21,安徽.宣城厂 安徽.宣城厂/20kV.宣城厂#1机,49.967,-0.125,-0.093,370.5,389.8,19.2,22.2,86.4,187.65,160.43,117.0,101.7,11.3,9.6,4.3,0.00,0.033,33.14,2.4,51.91,57.82,89.78,99.57,94.62,105.23,144.40,128.75,112.16,187.65,160.43,116.96,PMU
2017/03/31 12:36:21,安徽.宣城厂 安徽.宣城厂/20kV.宣城厂#2机,49.967,-0.125,-0.093,389.4,402.0,12.6,22.2,56.4,179.73,160.43,112.0,84.2,10.8,9.6,4.3,0.00,0.033,21.64,5.2,39.63,57.82,68.55,83.60,94.62,88.36,132.01,128.75,102.53,179.73,160.43,112.02,PMU
2017/03/31 12:36:21,华东.安庆厂 安徽.安庆厂/20kV.安庆厂#1机,49.967,-0.125,-0.093,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.033,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2017/03/31 12:36:21,华东.安庆厂 安徽.安庆厂/20kV.安庆厂#2机,49.967,-0.125,-0.093,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.033,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2017/03/31 12:36:21,华东.安庆厂 安徽.安庆厂/27kV.安庆厂#3机,49.967,-0.125,-0.093,719.7,730.0,10.3,37.1,27.7,120.04,267.36,44.9,36.3,7.2,16.0,10.9,0.00,0.033,34.21,23.9,28.91,96.36,30.00,59.88,157.69,37.98,91.26,214.57,42.53,120.04,267.36,44.90,RTU
2017/03/31 12:36:21,华东.安庆厂 安徽.安庆厂/27kV.安庆厂#4机,49.967,-0.125,-0.093,726.6,745.5,18.9,37.1,50.9,241.81,267.39,90.4,70.7,14.5,16.0,5.6,0.00,0.033,25.75,6.4,60.94,96.36,63.24,118.87,157.70,75.38,179.60,214.59,83.69,241.81,267.39,90.44,PMU
