响应时间,机组名称,频率初值,频差极值,最大频率调节量,出力初值,出力极值,最大出力调节量,最大理论调节量,出力响应指数,实际贡献电量,理论贡献电量,电量贡献指数,综合指数,平均出力调节量,平均理论调节量,调差系数,滞后时间,调频死区,爬坡速率,响应偏差率,15秒实际贡献电量,15秒理论贡献电量,15秒贡献电量指数,30秒实际贡献电量,30秒理论贡献电量,30秒贡献电量指数,45秒实际贡献电量,45秒理论贡献电量,45秒贡献电量指数,60秒实际贡献电量,60秒理论贡献电量,60秒贡献电量指数,量测源
2016/08/02 20:29:31,安徽.滨淮厂 安徽.滨淮厂/13.8kV.滨淮厂#1机,49.971,-0.117,-0.088,92.4,93.7,1.3,5.3,24.7,5.78,33.57,17.2,21.0,0.3,2.0,15.3,0.00,0.030,21.70,31.7,4.21,11.65,36.12,4.73,19.14,24.72,5.25,26.43,19.88,5.78,33.57,17.21,RTU
2016/08/02 20:29:31,安徽.滨淮厂 安徽.滨淮厂/13.8kV.滨淮厂#2机,49.971,-0.117,-0.088,92.4,93.5,1.1,5.3,20.8,15.78,33.57,47.0,33.9,0.9,2.0,9.3,0.00,0.030,2.52,20.3,2.13,11.65,18.25,6.64,19.14,34.71,11.21,26.43,42.42,15.78,33.57,47.02,RTU
2016/08/02 20:29:31,安徽.陈村站 安徽.陈村站/15.75kV.陈村站#1机,49.971,-0.117,-0.088,0.0,0.0,0.0,-0.0,0.0,0.00,-0.27,0.0,0.0,0.0,-0.0,0.0,0.00,0.030,0.00,0.0,0.00,-0.07,0.00,0.00,-0.13,0.00,0.00,-0.20,0.00,0.00,-0.27,0.00,RTU
2016/08/02 20:29:31,安徽.陈村站 安徽.陈村站/15.75kV.陈村站#4机,49.971,-0.117,-0.088,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.030,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RTU
2016/08/02 20:29:31,安徽.阜润厂 安徽.阜润厂/22kV.阜润厂#1机,49.971,-0.117,-0.088,601.8,613.9,12.2,22.5,54.1,160.26,143.22,111.9,83.0,9.6,8.6,4.4,0.00,0.030,4.17,3.9,42.30,49.72,85.08,90.00,81.65,110.22,130.09,112.77,115.36,160.26,143.22,111.90,RTU
2016/08/02 20:29:31,安徽.阜润厂 安徽.阜润厂/22kV.阜润厂#2机,49.971,-0.117,-0.088,602.3,611.5,9.2,22.5,41.0,135.86,143.21,94.9,67.9,8.1,8.6,5.2,0.00,0.030,1.57,5.4,31.02,49.72,62.39,65.07,81.65,79.69,99.69,112.77,88.41,135.86,143.21,94.87,RTU
2016/08/02 20:29:31,安徽.顾桥厂 安徽.顾桥厂/20kV.顾桥厂#1机,49.971,-0.117,-0.088,200.1,202.6,2.5,11.6,21.5,23.55,73.85,31.9,26.7,1.4,4.4,6.1,0.00,0.030,1.94,26.0,-2.63,25.64,-10.28,2.78,42.10,6.60,13.16,58.15,22.64,23.55,73.85,31.89,RTU
2016/08/02 20:29:31,安徽.顾桥厂 安徽.顾桥厂/20kV.顾桥厂#2机,49.971,-0.117,-0.088,193.8,193.8,0.0,11.6,0.0,-14.71,73.85,-19.9,-10.0,-0.9,4.4,-24.9,0.00,0.030,0.00,45.8,-3.51,25.64,-13.67,-7.24,42.10,-17.20,-10.98,58.15,-18.87,-14.71,73.85,-19.92,RTU
2016/08/02 20:29:31,安徽.合二厂 安徽.合二厂/20kV.合二厂#1机,49.971,-0.117,-0.088,289.7,299.8,10.1,12.3,82.2,124.52,78.33,159.0,120.6,7.5,4.7,2.7,0.00,0.030,3.17,5.2,18.52,27.19,68.11,47.36,44.65,106.07,85.20,61.67,138.15,124.52,78.33,158.98,RTU
2016/08/02 20:29:31,安徽.合二厂 安徽.合二厂/20kV.合二厂#2机,49.971,-0.117,-0.088,234.2,234.8,0.6,12.3,4.8,-23.37,78.32,-29.8,-12.5,-1.4,4.7,-11.7,0.00,0.030,2.54,49.6,-2.16,27.19,-7.95,-8.81,44.65,-19.73,-16.11,61.67,-26.13,-23.37,78.32,-29.84,RTU
2016/08/02 20:29:31,安徽.合肥厂 安徽.合肥厂/20kV.合肥厂#6机,49.971,-0.117,-0.088,510.0,512.3,2.3,22.2,10.2,-5.17,140.97,-3.7,3.3,-0.3,8.5,-1.1,2.80,0.030,4.14,39.6,6.04,48.94,12.34,13.12,80.37,16.33,8.08,111.00,7.27,-5.17,140.97,-3.67,RTU
2016/08/02 20:29:31,安徽.合肥厂 安徽.合肥厂/22kV.合肥厂#5机,49.971,-0.117,-0.088,471.0,472.5,1.5,22.2,7.0,10.44,140.98,7.4,7.2,0.6,8.5,20.8,6.40,0.030,1.39,35.3,1.20,48.94,2.45,6.45,80.37,8.03,9.47,111.01,8.53,10.44,140.98,7.41,RTU
2016/08/02 20:29:31,安徽.虎山厂 安徽.虎山厂/20kV.虎山厂#1机,49.971,-0.117,-0.088,544.2,559.3,15.1,23.2,65.1,134.17,147.69,90.8,78.0,8.1,8.9,4.8,0.00,0.030,14.03,7.9,35.83,51.27,69.88,68.48,84.21,81.32,101.79,116.30,87.52,134.17,147.69,90.85,PMU
2016/08/02 20:29:31,安徽.虎山厂 安徽.虎山厂/20kV.虎山厂#2机,49.971,-0.117,-0.088,403.1,410.2,7.1,23.2,30.6,90.91,147.69,61.6,46.1,5.4,8.9,6.7,0.00,0.030,1.09,14.8,15.03,51.27,29.31,36.89,84.20,43.81,63.03,116.29,54.20,90.91,147.69,61.56,PMU
2016/08/02 20:29:31,安徽.华六厂 安徽.华六厂/13.8kV.华六厂#1机,49.971,-0.117,-0.088,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.030,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RTU
2016/08/02 20:29:31,安徽.华六厂 安徽.华六厂/13.8kV.华六厂#2机,49.971,-0.117,-0.088,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.030,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RTU
2016/08/02 20:29:31,安徽.华六厂 安徽.华六厂/20kV.华六厂#3机,49.971,-0.117,-0.088,524.3,527.7,3.4,23.2,14.7,27.77,147.69,18.8,16.7,1.7,8.9,13.9,0.00,0.030,0.52,31.0,7.04,51.27,13.73,7.49,84.20,8.89,13.86,116.29,11.92,27.77,147.69,18.80,RTU
2016/08/02 20:29:31,安徽.华六厂 安徽.华六厂/20kV.华六厂#4机,49.971,-0.117,-0.088,526.0,531.7,5.6,23.2,24.2,43.26,147.68,29.3,26.7,2.6,8.9,5.9,25.20,0.030,1.73,27.0,-3.72,51.27,-7.26,-1.49,84.20,-1.77,21.89,116.29,18.82,43.26,147.68,29.29,RTU
2016/08/02 20:29:31,安徽.淮北二厂 安徽.淮北二厂/20kV.淮北二厂#1机,49.971,-0.117,-0.088,254.9,258.6,3.7,11.2,33.2,18.91,71.61,26.4,29.8,1.1,4.3,3.7,0.00,0.030,1.19,28.3,3.75,24.86,15.10,-4.12,40.83,-10.08,5.06,56.39,8.97,18.91,71.61,26.40,PMU
2016/08/02 20:29:31,安徽.淮北二厂 安徽.淮北二厂/20kV.淮北二厂#2机,49.971,-0.117,-0.088,252.8,256.1,3.3,11.2,29.0,37.50,71.61,52.4,40.7,2.2,4.3,8.4,0.00,0.030,1.23,18.3,6.45,24.86,25.97,12.93,40.83,31.68,25.01,56.38,44.36,37.50,71.61,52.37,PMU
2016/08/02 20:29:31,安徽.汇源厂 安徽.汇源厂/20kV.汇源厂#5机,49.971,-0.117,-0.088,253.3,260.5,7.2,13.0,55.2,75.86,82.80,91.6,73.4,4.6,5.0,5.6,0.00,0.030,29.13,4.8,19.51,28.74,67.89,37.12,47.21,78.64,56.09,65.20,86.02,75.86,82.80,91.62,PMU
2016/08/02 20:29:31,安徽.汇源厂 安徽.汇源厂/20kV.汇源厂#6机,49.971,-0.117,-0.088,249.7,261.6,11.9,13.0,91.2,90.02,82.80,108.7,100.0,5.4,5.0,4.6,0.00,0.030,45.84,1.2,32.39,28.74,112.68,53.87,47.21,114.13,72.53,65.19,111.25,90.02,82.80,108.72,PMU
2016/08/02 20:29:31,安徽.九华厂 安徽.九华厂/20kV.九华厂#1机,49.971,-0.117,-0.088,188.2,198.2,10.0,11.2,89.2,112.01,71.61,156.4,122.8,6.7,4.3,2.1,0.00,0.030,3.15,12.4,1.59,24.86,6.38,34.24,40.83,83.88,72.18,56.38,128.01,112.01,71.61,156.42,RTU
2016/08/02 20:29:31,安徽.九华厂 安徽.九华厂/20kV.九华厂#2机,49.971,-0.117,-0.088,227.8,231.3,3.5,11.2,31.2,34.99,71.60,48.9,40.1,2.1,4.3,6.8,11.80,0.030,3.88,19.5,0.76,24.86,3.05,13.59,40.83,33.30,24.86,56.38,44.09,34.99,71.60,48.86,RTU
2016/08/02 20:29:31,安徽.临涣厂 安徽.临涣厂/20kV.临涣厂#1机,49.971,-0.117,-0.088,187.4,188.1,0.8,10.6,7.1,-12.11,67.13,-18.0,-5.5,-0.7,4.0,-22.5,0.00,0.030,0.00,45.1,-3.07,23.31,-13.18,-7.04,38.28,-18.40,-10.42,52.86,-19.70,-12.11,67.13,-18.04,RTU
